node	label	parent	branch.length	CI_date	CI_height	date	gisaid_epi_isl	strain	date_str	region	country	division	country_exposure	nextstrain_clade	pangolin_lineage	originating_lab	submitting_lab	authors	tree_pangolin_lineage	travel_context	similarity_context	focal_sequence	is_visited	France_loc_weight	Netherlands_loc_weight	China_loc_weight	Switzerland_loc_weight	United Kingdom_loc_weight	Spain_loc_weight	Ireland_loc_weight	Germany_loc_weight	Lithuania_loc_weight	Italy_loc_weight	Japan_loc_weight
133	NA	116	0.055369	c("2020-06-30", "2020-08-19")	c(0.155481, 0.293781)	2020-07-25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	0	0	0	1	0	0	0	0	0	0	0
134	NA	133	0.07811	c("2020-08-08", "2020-08-24")	c(0.142466, 0.185945)	2020-08-23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	0	0	0	1	0	0	0	0	0	0	0
135	NA	134	0.0038197	c("2020-08-17", "2020-08-24")	c(0.142466, 0.162722)	2020-08-24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	0	0	0	1	0	0	0	0	0	0	0
136	NA	134	0.0275771	c("2020-08-16", "2020-09-03")	c(0.115068, 0.163586)	2020-09-02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	0	0	0	1	0	0	0	0	0	0	0
137	NA	134	0.0284772	c("2020-08-18", "2020-09-02")	c(0.117808, 0.157835)	2020-09-02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	0	0	0	1	0	0	0	0	0	0	0
138	NA	116	0.00544936	c("2020-06-22", "2020-07-27")	c(0.218798, 0.314702)	2020-07-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	0	0.25	0	0	0	0.625	0	0	0	0.125	0
139	NA	138	0.111887	c("2020-07-31", "2020-09-05")	c(0.110517, 0.208014)	2020-08-17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	0	0.6	0	0	0	0	0	0.4	0	0	0
142	NA	139	0.0625689	c("2020-08-15", "2020-09-26")	c(0.0512153, 0.167144)	2020-09-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
145	NA	138	0.225	c("2020-09-11", "2020-09-27")	c(0.0493151, 0.0941131)	2020-09-27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
147	NA	138	0.166109	c("2020-08-19", "2020-09-14")	c(0.0849315, 0.15689)	2020-09-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
148	NA	147	0.0435453	c("2020-09-10", "2020-09-29")	c(0.0438356, 0.0964578)	2020-09-21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
149	NA	138	0.0684811	c("2020-06-29", "2020-09-05")	c(0.109589, 0.295097)	2020-08-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
150	NA	138	0.0259679	c("2020-06-26", "2020-08-14")	c(0.169747, 0.305232)	2020-07-16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	0	0	0	0	0	1	0	0	0	0	0
151	NA	138	0.156213	c("2020-08-10", "2020-09-10")	c(0.0958904, 0.180259)	2020-09-02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
